"route","file path","line","element / component","attribute","label copy","label source","scope","value kind","retrieved"
"/","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/404","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/about","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/advanced-search","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/changelog","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/disclaimer","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/faq","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/login","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/updates","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/ontology-browser","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/program-collections","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/repository-matcher","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
"/resources","src/components/navigation-bar/components/nav-layout.tsx","28","Flex as='nav'","aria-label","Main navigation","hardcoded in JSX","global (nav bar)","literal",""
