"class","term","property","parent term","depth","term kind","field tier","abstract","description","rdfs:comment","json path","reached via paths"
"Dataset","Dataset","Dataset","","0","class","","Datasets contained in the NIAID Data Ecosystem. A dataset is a collection of data of a particular experimental type.","","Datasets contained in the NIAID Data Ecosystem. A dataset is a collection of data of a particular experimental type. The NIAID Data Ecosystem is an environment to find and access and infectious and immune-mediated disease data and computational tools to speed the development of diagnostics, therapeutics, and vaccines. The NIAID Data Ecosystem Discovery Portal harvests metadata from dataset repository and harmonizes them to this schema to enable easy cross-platform dataset searching and filtering.","nde:Dataset","1"
"ComputationalTool","ComputationalTool","ComputationalTool","","0","class","","ComputationalTools (software, workflows, computational tools, code) contained in the NIAID Data Ecosystem.","","ComputationalTools (software, workflows, computational tools, code) contained in the NIAID Data Ecosystem. The NIAID Data Ecosystem is a secure environment to find, access and analyze immune-mediated and infectious disease data and computational tools to speed the development of diagnostics, therapeutics, and vaccines. The NIAID Data Ecosystem Discovery Portal harvests metadata from dataset repository and harmonizes them to this schema to enable easy cross-platform dataset searching and filtering.","nde:ComputationalTool","1"
"ResourceCatalog","ResourceCatalog","ResourceCatalog","","0","class","","ResourceCatalogs (collections of scientific information or research outputs) contained in the NIAID Data Ecosystem. Resource catalogs include databases, repositories, knowledge bases, citation indices, software indices, browser-based data portals (web portals), etc.","","ResourceCatalogs (collections of scientific information or research outputs) contained in the NIAID Data Ecosystem. Resource catalogs include databases, repositories, knowledge bases, citation indices, software indices, browser-based data portals (web portals), etc. The NIAID Data Ecosystem is an environment to find and access and infectious and immune-mediated disease data, resources and computational tools to speed the development of diagnostics, therapeutics, and vaccines. The NIAID Data Ecosystem Discovery Portal harvests metadata from dataset repository and harmonizes them to this schema to enable easy cross-platform dataset searching and filtering.","nde:ResourceCatalog","1"
"DefinedTerm","DefinedTerm","DefinedTerm","","0","class","","","","A word, name, acronym, phrase, etc. with a formal definition. Often used in the context of category or subject classification, glossaries or dictionaries, product or creative work types, etc. Use the name property for the term being defined, use termCode if the term has an alpha-numeric code allocated, use description to provide the definition of the term.","nde:DefinedTerm","1"
"Sample","Sample","Sample","","0","class","","Samples contained in the NIAID Data Ecosystem. A sample is a material entity taken from a larger source.","","Samples contained in the NIAID Data Ecosystem. A Sample is a material entity taken from a larger source, system, or environment, collected for the purpose of analysis, testing, identification, or demonstration. The NIAID Data Ecosystem Discovery Portal harvests metadata from repositories and harmonizes them to this schema to enable easy cross-platform sample searching and filtering.","nde:Sample","1"
"SampleCollection","SampleCollection","SampleCollection","","0","class","","Samples collections contained in the NIAID Data Ecosystem. A sample collection is an aggregate sample record.","","Sample collections contained in the NIAID Data Ecosystem. A SampleCollection is a collection of samples with some aggregate information about the collection itself. A SampleCollection can be useful for describing sample information when only aggregated sample-level metadata is provided due to privacy issues that prevent sharing of individual sample-level metadata record.","nde:SampleCollection","1"
"DataCollection","DataCollection","DataCollection","","0","class","","Data Collections contained in the NIAID Data Ecosystem. A data collection is a collection of data grouped by common search fields in the NIAID Data Ecosystem.","","Data collections contained in the NIAID Data Ecosystem. A data collection is a collection of data records from other sources that have been grouped by common search fields. The NIAID Data Ecosystem is an environment to find and access and infectious and immune-mediated disease data and resources to speed the development of diagnostics, therapeutics, and vaccines. The NIAID Data Ecosystem Discovery Portal aggregates metadata from repository of various data types and harmonizes them to this schema to enable easy cross-platform resource searching and filtering. Data collections are essentially artificial datasets that exist in the NIAID Data Ecosystem to extend the discovery of resources beyond the current scope of the data classes included in the Discovery Portal.","nde:DataCollection","1"
"SemanticTriple","SemanticTriple","SemanticTriple","","0","class","","","","The SemanticTriple is a structured representation of a subject–predicate–object assertion, modeled after the RDF triple pattern used in knowledge graphs and linked data systems. While schema.org/Statement provides a general mechanism for reifying claims about entities, SemanticTriple makes the triple structure explicit and unambiguous, enabling direct, lossless translation between schema.org markup and RDF-based knowledge graph formats such as RDF/XML, Turtle, JSON-LD, and N-Triples.","nde:SemanticTriple","1"
"Inference","Inference","Inference","","0","class","","","","The Inference Type describes a discrete observation, assertion, result/conclusion drawn from and/or about a dataset or a collection of data. Note that while the Inference type itself is used to model or capture a primary observation, assertion, result/conclusion akin to a semantic triple; it's schema.org-based structure may also include provenance-related information (akin to provenance-related semantic triples). Lastly, the schema include key Discovery Portal properties to enable improved search.","nde:Inference","1"
"Dataset","citedBy","citedBy","","0","property declaration","recommended","","","Publications that cite the dataset, resource/resource catalog or computational tool. Examples: a publication which reuses the dataset in a secondary analysis, a dataset which extends the existing dataset, or a computational tool which relies on the dataset.","nde:citedBy","1"
