"pill family","route","file path","line","pill visible text","origin of visible text","tooltip text","origin of tooltip text","condition shown","resource type","schema property","schema name","schema description","schema description source","value kind","retrieved","notes"
"access badge","/resources","src/components/badges/components/ConditionsOfAccess.tsx","26","Open Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","The resource is freely available without access restrictions.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Open'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","",""
"access badge","/search","src/components/badges/components/ConditionsOfAccess.tsx","26","Open Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","The resource is freely available without access restrictions.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Open'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","",""
"access badge","/resources","src/components/badges/components/ConditionsOfAccess.tsx","26","Controlled Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","The resource may have conditions that limit access.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Controlled'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","","displayed value for source data of ""Restricted"""
"access badge","/search","src/components/badges/components/ConditionsOfAccess.tsx","26","Controlled Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","The resource may have conditions that limit access.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Controlled'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","","displayed value for source data of ""Restricted"""
"access badge","/resources","src/components/badges/components/ConditionsOfAccess.tsx","26","Registered Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","The resource requires registration or authorization to access.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Registered'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","","displayed value for source data of ""Closed"""
"access badge","/search","src/components/badges/components/ConditionsOfAccess.tsx","26","Registered Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","The resource requires registration or authorization to access.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Registered'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","","displayed value for source data of ""Closed"""
"access badge","/resources","src/components/badges/components/ConditionsOfAccess.tsx","26","Embargoed Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","Public access is restricted until publication.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Embargoed'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","",""
"access badge","/search","src/components/badges/components/ConditionsOfAccess.tsx","26","Embargoed Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","Public access is restricted until publication.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Embargoed'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","",""
"access badge","/resources","src/components/badges/components/ConditionsOfAccess.tsx","26","Varied Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","Access to the resource varies by record.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Varied'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","",""
"access badge","/search","src/components/badges/components/ConditionsOfAccess.tsx","26","Varied Access","transformConditionsOfAccessLabel() in src/utils/formatting/formatConditionsOfAccess.ts","Access to the resource varies by record.","getConditionsOfAccessTooltip() in src/utils/formatting/formatConditionsOfAccess.ts","conditionsOfAccess === 'Varied'","(not type-dependent)","conditionsOfAccess","Conditions Of Access","[Dataset, ComputationalTool] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [ResourceCatalog] Conditions that affect the availability of, or method(s) of access to, the work. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), embargoed (unpublished), varied (access varies by record), unknown (conditions of access information was not found). | [Sample] Conditions that affect the availability of, or method(s) of access to, the sample. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished). | [DataCollection] Conditions that affect the availability of, or method(s) of access to the source records included in the data collection. Options include open (freely available), restricted (may include restrictions such as on use), closed (requires registration to access), or embargoed (unpublished).","varies by type (4 wordings)","literal","",""
